s,s,s
20385546.144000,-5393729.649000,16168836.268000
4882986.828000,-21882209.809000,13742859.383000
-17377528.789000,-15695867.929000,13288025.094000
4168321.753000,-15313609.345000,21144765.936000
-8346155.449000,-13912446.075000,21816987.642000
-3376012.052000,-26350655.889000,297869.716000
