v,v,v
-0.139654044,4.508164672,5.353218474
-0.139654063,4.508165261,5.353217978
-0.139654081,4.508165850,5.353217481
-0.139654099,4.508166439,5.353216985
-0.139654117,4.508167027,5.353216488
-0.139654136,4.508167615,5.353215993
-0.139654154,4.508168206,5.353215497
-0.139654172,4.508168795,5.353214999
-0.139654190,4.508169383,5.353214504
-0.139654209,4.508169971,5.353214008
-0.139654227,4.508170560,5.353213511
-0.139654245,4.508171149,5.353213015
-0.139654263,4.508171737,5.353212518
-0.139654281,4.508172325,5.353212023
-0.139654300,4.508172915,5.353211526
-0.139654318,4.508173505,5.353211030
-0.139654336,4.508174093,5.353210534
-0.139654354,4.508174681,5.353210038
-0.139654373,4.508175270,5.353209542
-0.139654391,4.508175858,5.353209045
-0.139654409,4.508176446,5.353208549
-0.139654427,4.508177035,5.353208052
-0.139654446,4.508177625,5.353207556
-0.139654464,4.508178213,5.353207060
-0.139654482,4.508178802,5.353206565
-0.139654500,4.508179392,5.353206068
-0.139654519,4.508179980,5.353205571
-0.139654537,4.508180568,5.353205076
-0.139654555,4.508181156,5.353204578
-0.139654573,4.508181745,5.353204081
-0.139654591,4.508182333,5.353203586
-0.139654610,4.508182924,5.353203091
-0.139654628,4.508183512,5.353202594
-0.139654646,4.508184101,5.353202099
-0.139654664,4.508184689,5.353201602
-0.139654683,4.508185278,5.353201105
-0.139654701,4.508185864,5.353200609
-0.139654719,4.508186454,5.353200113
-0.139654737,4.508187043,5.353199617
-0.139654756,4.508187632,5.353199120
-0.139654774,4.508188222,5.353198624
-0.139654792,4.508188811,5.353198127
-0.139654810,4.508189400,5.353197632
-0.139654829,4.508189987,5.353197135
-0.139654847,4.508190575,5.353196638
-0.139654865,4.508191164,5.353196143
-0.139654883,4.508191753,5.353195646
-0.139654902,4.508192341,5.353195149
-0.139654920,4.508192931,5.353194654
-0.139654938,4.508193519,5.353194159
-0.139654956,4.508194109,5.353193661
-0.139654975,4.508194697,5.353193165
-0.139654993,4.508195285,5.353192670
-0.139655011,4.508195874,5.353192172
-0.139655029,4.508196463,5.353191676
-0.139655047,4.508197051,5.353191182
-0.139655066,4.508197640,5.353190683
-0.139655084,4.508198231,5.353190187
-0.139655102,4.508198818,5.353189691
-0.139655120,4.508199407,5.353189195
-0.139655139,4.508199994,5.353188699
-0.139655157,4.508200583,5.353188202
-0.139655175,4.508201174,5.353187706
-0.139655193,4.508201762,5.353187210
-0.139655212,4.508202349,5.353186713
-0.139655230,4.508202939,5.353186217
-0.139655248,4.508203528,5.353185721
-0.139655266,4.508204117,5.353185224
-0.139655284,4.508204704,5.353184729
-0.139655303,4.508205294,5.353184232
-0.139655321,4.508205880,5.353183737
-0.139655339,4.508206471,5.353183240
-0.139655357,4.508207059,5.353182743
-0.139655376,4.508207650,5.353182246
-0.139655394,4.508208238,5.353181751
-0.139655412,4.508208826,5.353181255
-0.139655430,4.508209415,5.353180759
-0.139655449,4.508210004,5.353180263
-0.139655467,4.508210591,5.353179767
-0.139655485,4.508211181,5.353179270
-0.139655503,4.508211769,5.353178775
-0.139655522,4.508212359,5.353178277
-0.139655540,4.508212947,5.353177782
-0.139655558,4.508213537,5.353177284
-0.139655576,4.508214124,5.353176788
-0.139655595,4.508214713,5.353176292
-0.139655613,4.508215301,5.353175795
-0.139655631,4.508215889,5.353175300
-0.139655649,4.508216479,5.353174804
-0.139655667,4.508217067,5.353174307
-0.139655686,4.508217655,5.353173810
-0.139655704,4.508218246,5.353173315
-0.139655722,4.508218834,5.353172818
-0.139655740,4.508219423,5.353172323
-0.139655759,4.508220012,5.353171825
-0.139655777,4.508220600,5.353171329
-0.139655795,4.508221189,5.353170834
-0.139655813,4.508221777,5.353170337
-0.139655832,4.508222365,5.353169840
-0.139655850,4.508222955,5.353169345
-0.139655868,4.508223543,5.353168849
-0.139655886,4.508224133,5.353168352
-0.139655905,4.508224721,5.353167856
-0.139655923,4.508225311,5.353167359
-0.139655941,4.508225898,5.353166863
-0.139655959,4.508226488,5.353166367
-0.139655978,4.508227076,5.353165871
-0.139655996,4.508227664,5.353165374
-0.139656014,4.508228254,5.353164878
-0.139656032,4.508228842,5.353164382
-0.139656050,4.508229431,5.353163886
-0.139656069,4.508230017,5.353163390
-0.139656087,4.508230607,5.353162893
-0.139656105,4.508231197,5.353162398
-0.139656123,4.508231785,5.353161900
-0.139656142,4.508232372,5.353161404
-0.139656160,4.508232962,5.353160909
-0.139656178,4.508233552,5.353160412
-0.139656196,4.508234140,5.353159916
-0.139656215,4.508234729,5.353159420
-0.139656233,4.508235318,5.353158924
-0.139656251,4.508235906,5.353158426
-0.139656269,4.508236494,5.353157931
-0.139656288,4.508237083,5.353157434
-0.139656306,4.508237671,5.353156936
-0.139656324,4.508238261,5.353156441
-0.139656342,4.508238848,5.353155945
-0.139656360,4.508239439,5.353155449
-0.139656379,4.508240027,5.353154953
-0.139656397,4.508240616,5.353154458
-0.139656415,4.508241205,5.353153960
-0.139656433,4.508241792,5.353153464
-0.139656452,4.508242380,5.353152968
-0.139656470,4.508242969,5.353152471
-0.139656488,4.508243560,5.353151975
-0.139656506,4.508244148,5.353151478
-0.139656525,4.508244736,5.353150981
-0.139656543,4.508245325,5.353150487
-0.139656561,4.508245913,5.353149991
-0.139656579,4.508246503,5.353149493
-0.139656598,4.508247091,5.353148998
-0.139656616,4.508247680,5.353148502
-0.139656634,4.508248268,5.353148005
-0.139656652,4.508248856,5.353147511
-0.139656670,4.508249445,5.353147014
-0.139656689,4.508250034,5.353146517
-0.139656707,4.508250623,5.353146021
-0.139656725,4.508251213,5.353145524
-0.139656743,4.508251801,5.353145028
-0.139656762,4.508252389,5.353144531
-0.139656780,4.508252978,5.353144036
-0.139656798,4.508253567,5.353143539
-0.139656816,4.508254155,5.353143042
-0.139656835,4.508254745,5.353142547
-0.139656853,4.508255334,5.353142051
-0.139656871,4.508255920,5.353141554
-0.139656889,4.508256511,5.353141058
-0.139656908,4.508257099,5.353140562
-0.139656926,4.508257689,5.353140066
-0.139656944,4.508258278,5.353139570
-0.139656962,4.508258865,5.353139074
-0.139656981,4.508259454,5.353138577
-0.139656999,4.508260044,5.353138081
-0.139657017,4.508260631,5.353137584
-0.139657035,4.508261221,5.353137088
-0.139657053,4.508261808,5.353136592
-0.139657072,4.508262397,5.353136096
-0.139657090,4.508262986,5.353135598
-0.139657108,4.508263575,5.353135103
-0.139657126,4.508264163,5.353134607
-0.139657145,4.508264751,5.353134110
-0.139657163,4.508265340,5.353133615
-0.139657181,4.508265930,5.353133118
-0.139657199,4.508266517,5.353132622
-0.139657218,4.508267106,5.353132126
-0.139657236,4.508267695,5.353131630
-0.139657254,4.508268283,5.353131133
-0.139657272,4.508268871,5.353130636
-0.139657291,4.508269461,5.353130141
-0.139657309,4.508270050,5.353129644
-0.139657327,4.508270639,5.353129147
-0.139657345,4.508271229,5.353128652
-0.139657363,4.508271815,5.353128155
-0.139657382,4.508272405,5.353127659
-0.139657400,4.508272995,5.353127163
-0.139657418,4.508273582,5.353126667
-0.139657436,4.508274172,5.353126170
-0.139657455,4.508274760,5.353125674
-0.139657473,4.508275349,5.353125178
-0.139657491,4.508275938,5.353124682
-0.139657509,4.508276526,5.353124184
-0.139657528,4.508277115,5.353123689
-0.139657546,4.508277704,5.353123192
-0.139657564,4.508278293,5.353122697
-0.139657582,4.508278881,5.353122200
-0.139657601,4.508279469,5.353121703
-0.139657619,4.508280058,5.353121207
-0.139657637,4.508280647,5.353120712
-0.139657655,4.508281237,5.353120214
-0.139657674,4.508281823,5.353119718
-0.139657692,4.508282413,5.353119222
-0.139657710,4.508283002,5.353118727
-0.139657728,4.508283590,5.353118229
-0.139657747,4.508284179,5.353117734
-0.139657765,4.508284768,5.353117237
-0.139657783,4.508285356,5.353116741
-0.139657801,4.508285946,5.353116245
-0.139657819,4.508286534,5.353115749
-0.139657838,4.508287123,5.353115252
-0.139657856,4.508287711,5.353114755
-0.139657874,4.508288301,5.353114260
-0.139657892,4.508288888,5.353113764
-0.139657911,4.508289478,5.353113268
-0.139657929,4.508290066,5.353112772
-0.139657947,4.508290654,5.353112275
-0.139657965,4.508291244,5.353111779
-0.139657984,4.508291832,5.353111282
-0.139658002,4.508292422,5.353110785
-0.139658020,4.508293009,5.353110289
-0.139658038,4.508293599,5.353109793
-0.139658057,4.508294189,5.353109297
-0.139658075,4.508294776,5.353108800
-0.139658093,4.508295366,5.353108305
-0.139658111,4.508295952,5.353107808
-0.139658129,4.508296542,5.353107313
-0.139658148,4.508297130,5.353106816
-0.139658166,4.508297718,5.353106319
-0.139658184,4.508298309,5.353105823
-0.139658202,4.508298897,5.353105327
-0.139658221,4.508299486,5.353104832
-0.139658239,4.508300074,5.353104334
-0.139658257,4.508300662,5.353103838
-0.139658275,4.508301252,5.353103342
-0.139658294,4.508301840,5.353102845
-0.139658312,4.508302430,5.353102350
-0.139658330,4.508303019,5.353101854
-0.139658348,4.508303608,5.353101357
-0.139658367,4.508304196,5.353100860
-0.139658385,4.508304783,5.353100365
-0.139658403,4.508305373,5.353099868
-0.139658421,4.508305961,5.353099372
-0.139658440,4.508306551,5.353098876
-0.139658458,4.508307137,5.353098379
-0.139658476,4.508307727,5.353097883
-0.139658494,4.508308316,5.353097387
-0.139658512,4.508308906,5.353096890
-0.139658531,4.508309494,5.353096394
-0.139658549,4.508310081,5.353095897
-0.139658567,4.508310671,5.353095401
-0.139658585,4.508311260,5.353094905
-0.139658604,4.508311847,5.353094409
-0.139658622,4.508312436,5.353093912
-0.139658640,4.508313024,5.353093415
-0.139658658,4.508313614,5.353092920
-0.139658677,4.508314203,5.353092425
-0.139658695,4.508314791,5.353091927
-0.139658713,4.508315381,5.353091431
-0.139658731,4.508315968,5.353090936
-0.139658749,4.508316557,5.353090439
-0.139658768,4.508317146,5.353089942
-0.139658786,4.508317734,5.353089447
-0.139658804,4.508318324,5.353088951
-0.139658823,4.508318913,5.353088453
-0.139658841,4.508319501,5.353087957
-0.139658859,4.508320090,5.353087462
-0.139658877,4.508320677,5.353086965
-0.139658895,4.508321267,5.353086469
-0.139658914,4.508321856,5.353085973
-0.139658932,4.508322445,5.353085476
-0.139658950,4.508323034,5.353084979
-0.139658968,4.508323622,5.353084484
-0.139658987,4.508324211,5.353083987
-0.139659005,4.508324799,5.353083491
-0.139659023,4.508325388,5.353082995
-0.139659041,4.508325977,5.353082498
-0.139659060,4.508326566,5.353082004
-0.139659078,4.508327155,5.353081506
-0.139659096,4.508327742,5.353081010
-0.139659114,4.508328331,5.353080514
-0.139659132,4.508328920,5.353080018
-0.139659151,4.508329509,5.353079522
-0.139659169,4.508330096,5.353079026
-0.139659187,4.508330686,5.353078529
-0.139659205,4.508331276,5.353078031
-0.139659224,4.508331864,5.353077536
-0.139659242,4.508332453,5.353077039
-0.139659260,4.508333042,5.353076544
-0.139659278,4.508333630,5.353076048
-0.139659297,4.508334218,5.353075551
-0.139659315,4.508334806,5.353075054
-0.139659333,4.508335395,5.353074558
-0.139659351,4.508335984,5.353074063
-0.139659370,4.508336573,5.353073566
-0.139659388,4.508337164,5.353073069
-0.139659406,4.508337751,5.353072574
-0.139659424,4.508338341,5.353072078
-0.139659443,4.508338929,5.353071581
-0.139659461,4.508339516,5.353071084
-0.139659479,4.508340107,5.353070588
-0.139659497,4.508340693,5.353070091
-0.139659515,4.508341282,5.353069596
-0.139659534,4.508341871,5.353069100
-0.139659552,4.508342459,5.353068603
-0.139659570,4.508343049,5.353068107
-0.139659588,4.508343638,5.353067611
-0.139659607,4.508344227,5.353067114
-0.139659625,4.508344814,5.353066619
-0.139659643,4.508345403,5.353066122
-0.139659661,4.508345993,5.353065626
-0.139659680,4.508346581,5.353065130
-0.139659698,4.508347169,5.353064633
-0.139659716,4.508347757,5.353064136
-0.139659734,4.508348347,5.353063640
-0.139659753,4.508348936,5.353063144
-0.139659771,4.508349525,5.353062647
-0.139659789,4.508350112,5.353062151
-0.139659807,4.508350702,5.353061656
-0.139659825,4.508351291,5.353061159
-0.139659844,4.508351878,5.353060662
-0.139659862,4.508352467,5.353060168
-0.139659880,4.508353056,5.353059671
-0.139659898,4.508353646,5.353059174
-0.139659917,4.508354235,5.353058678
-0.139659935,4.508354823,5.353058181
-0.139659953,4.508355412,5.353057685
-0.139659971,4.508356001,5.353057188
-0.139659990,4.508356589,5.353056692
-0.139660008,4.508357178,5.353056197
-0.139660026,4.508357766,5.353055701
-0.139660044,4.508358354,5.353055204
-0.139660063,4.508358943,5.353054708
-0.139660081,4.508359532,5.353054211
-0.139660099,4.508360122,5.353053716
-0.139660117,4.508360710,5.353053219
-0.139660135,4.508361299,5.353052722
-0.139660154,4.508361887,5.353052226
-0.139660172,4.508362477,5.353051730
-0.139660190,4.508363064,5.353051234
-0.139660208,4.508363651,5.353050738
-0.139660227,4.508364241,5.353050242
-0.139660245,4.508364830,5.353049745
-0.139660263,4.508365419,5.353049248
-0.139660281,4.508366006,5.353048753
-0.139660300,4.508366598,5.353048256
-0.139660318,4.508367185,5.353047760
-0.139660336,4.508367774,5.353047264
-0.139660354,4.508368362,5.353046767
-0.139660373,4.508368950,5.353046271
-0.139660391,4.508369540,5.353045776
-0.139660409,4.508370128,5.353045277
-0.139660427,4.508370716,5.353044783
-0.139660446,4.508371305,5.353044287
-0.139660464,4.508371895,5.353043789
-0.139660482,4.508372484,5.353043293
-0.139660500,4.508373071,5.353042796
-0.139660518,4.508373661,5.353042301
-0.139660537,4.508374250,5.353041803
-0.139660555,4.508374838,5.353041309
-0.139660573,4.508375427,5.353040813
-0.139660591,4.508376014,5.353040314
-0.139660610,4.508376604,5.353039819
-0.139660628,4.508377193,5.353039323
-0.139660646,4.508377782,5.353038827
-0.139660664,4.508378371,5.353038330
-0.139660683,4.508378961,5.353037835
-0.139660701,4.508379548,5.353037339
-0.139660719,4.508380136,5.353036842
-0.139660737,4.508380724,5.353036346
-0.139660756,4.508381314,5.353035849
-0.139660774,4.508381901,5.353035352
-0.139660792,4.508382489,5.353034856
-0.139660810,4.508383079,5.353034361
-0.139660828,4.508383668,5.353033864
-0.139660847,4.508384257,5.353033367
-0.139660865,4.508384846,5.353032872
-0.139660883,4.508385434,5.353032374
-0.139660901,4.508386022,5.353031879
-0.139660920,4.508386612,5.353031382
-0.139660938,4.508387201,5.353030886
-0.139660956,4.508387789,5.353030390
-0.139660974,4.508388377,5.353029894
-0.139660993,4.508388965,5.353029398
-0.139661011,4.508389556,5.353028900
-0.139661029,4.508390143,5.353028405
-0.139661047,4.508390733,5.353027909
-0.139661065,4.508391321,5.353027412
-0.139661084,4.508391910,5.353026916
-0.139661102,4.508392498,5.353026420
-0.139661120,4.508393087,5.353025923
-0.139661138,4.508393677,5.353025428
-0.139661157,4.508394265,5.353024932
-0.139661175,4.508394853,5.353024435
-0.139661193,4.508395442,5.353023939
-0.139661211,4.508396030,5.353023442
-0.139661230,4.508396620,5.353022946
-0.139661248,4.508397208,5.353022449
-0.139661266,4.508397797,5.353021953
-0.139661284,4.508398385,5.353021456
-0.139661303,4.508398974,5.353020961
-0.139661321,4.508399563,5.353020466
-0.139661339,4.508400152,5.353019968
-0.139661357,4.508400740,5.353019472
-0.139661376,4.508401330,5.353018975
-0.139661394,4.508401918,5.353018479
-0.139661412,4.508402508,5.353017983
-0.139661430,4.508403094,5.353017487
-0.139661449,4.508403685,5.353016990
-0.139661467,4.508404272,5.353016493
-0.139661485,4.508404862,5.353015999
-0.139661503,4.508405451,5.353015501
-0.139661521,4.508406039,5.353015006
-0.139661540,4.508406626,5.353014509
-0.139661558,4.508407217,5.353014013
-0.139661576,4.508407805,5.353013517
-0.139661594,4.508408395,5.353013020
-0.139661613,4.508408981,5.353012524
-0.139661631,4.508409571,5.353012027
-0.139661649,4.508410159,5.353011532
-0.139661667,4.508410748,5.353011035
-0.139661686,4.508411338,5.353010539
-0.139661704,4.508411925,5.353010043
-0.139661722,4.508412513,5.353009547
-0.139661740,4.508413102,5.353009050
-0.139661758,4.508413691,5.353008553
-0.139661777,4.508414280,5.353008057
-0.139661795,4.508414868,5.353007562
-0.139661813,4.508415459,5.353007065
-0.139661831,4.508416045,5.353006570
-0.139661850,4.508416636,5.353006073
-0.139661868,4.508417224,5.353005576
-0.139661886,4.508417812,5.353005081
-0.139661904,4.508418401,5.353004584
-0.139661923,4.508418988,5.353004088
-0.139661941,4.508419577,5.353003592
-0.139661959,4.508420167,5.353003096
-0.139661977,4.508420756,5.353002599
-0.139661996,4.508421346,5.353002103
-0.139662014,4.508421933,5.353001606
-0.139662032,4.508422522,5.353001110
-0.139662050,4.508423110,5.353000613
-0.139662069,4.508423699,5.353000117
-0.139662087,4.508424289,5.352999621
-0.139662105,4.508424875,5.352999125
-0.139662123,4.508425465,5.352998629
-0.139662141,4.508426052,5.352998132
-0.139662160,4.508426642,5.352997635
-0.139662178,4.508427231,5.352997140
-0.139662196,4.508427818,5.352996644
-0.139662214,4.508428409,5.352996147
-0.139662233,4.508428997,5.352995650
-0.139662251,4.508429585,5.352995154
-0.139662269,4.508430175,5.352994658
-0.139662287,4.508430763,5.352994162
-0.139662306,4.508431351,5.352993666
-0.139662324,4.508431940,5.352993169
-0.139662342,4.508432528,5.352992674
-0.139662360,4.508433118,5.352992177
-0.139662379,4.508433708,5.352991679
-0.139662397,4.508434295,5.352991185
-0.139662415,4.508434884,5.352990687
-0.139662433,4.508435472,5.352990191
-0.139662451,4.508436061,5.352989696
-0.139662470,4.508436651,5.352989199
-0.139662488,4.508437240,5.352988702
-0.139662506,4.508437827,5.352988206
-0.139662524,4.508438415,5.352987711
-0.139662543,4.508439004,5.352987214
-0.139662561,4.508439594,5.352986718
-0.139662579,4.508440183,5.352986221
-0.139662597,4.508440772,5.352985725
-0.139662616,4.508441360,5.352985229
-0.139662634,4.508441949,5.352984732
-0.139662652,4.508442537,5.352984237
-0.139662670,4.508443125,5.352983740
-0.139662689,4.508443714,5.352983244
-0.139662707,4.508444303,5.352982747
-0.139662725,4.508444890,5.352982251
-0.139662743,4.508445480,5.352981755
-0.139662762,4.508446070,5.352981259
-0.139662780,4.508446656,5.352980761
-0.139662798,4.508447245,5.352980266
-0.139662816,4.508447834,5.352979771
-0.139662834,4.508448423,5.352979273
-0.139662853,4.508449011,5.352978777
-0.139662871,4.508449601,5.352978282
-0.139662889,4.508450190,5.352977784
-0.139662907,4.508450777,5.352977288
-0.139662926,4.508451366,5.352976793
-0.139662944,4.508451954,5.352976295
-0.139662962,4.508452545,5.352975799
-0.139662980,4.508453133,5.352975304
-0.139662999,4.508453723,5.352974807
-0.139663017,4.508454311,5.352974310
-0.139663035,4.508454898,5.352973815
-0.139663053,4.508455487,5.352973317
-0.139663072,4.508456076,5.352972821
-0.139663090,4.508456665,5.352972326
-0.139663108,4.508457254,5.352971830
-0.139663126,4.508457842,5.352971333
-0.139663144,4.508458431,5.352970836
-0.139663163,4.508459021,5.352970340
-0.139663181,4.508459609,5.352969844
-0.139663199,4.508460199,5.352969348
-0.139663217,4.508460783,5.352968852
-0.139663236,4.508461375,5.352968354
-0.139663254,4.508461963,5.352967859
-0.139663272,4.508462553,5.352967362
-0.139663290,4.508463141,5.352966867
-0.139663309,4.508463728,5.352966370
-0.139663327,4.508464318,5.352965874
-0.139663345,4.508464906,5.352965378
-0.139663363,4.508465495,5.352964881
-0.139663382,4.508466084,5.352964385
-0.139663400,4.508466673,5.352963889
-0.139663418,4.508467262,5.352963392
-0.139663436,4.508467849,5.352962896
-0.139663454,4.508468439,5.352962399
-0.139663473,4.508469027,5.352961903
-0.139663491,4.508469615,5.352961407
-0.139663509,4.508470204,5.352960912
-0.139663527,4.508470792,5.352960414
-0.139663546,4.508471381,5.352959918
-0.139663564,4.508471971,5.352959422
-0.139663582,4.508472560,5.352958926
-0.139663600,4.508473149,5.352958429
-0.139663619,4.508473737,5.352957933
-0.139663637,4.508474324,5.352957437
-0.139663655,4.508474915,5.352956940
-0.139663673,4.508475503,5.352956445
-0.139663691,4.508476090,5.352955948
-0.139663710,4.508476681,5.352955453
-0.139663728,4.508477268,5.352954956
-0.139663746,4.508477857,5.352954458
-0.139663765,4.508478447,5.352953963
-0.139663783,4.508479035,5.352953466
-0.139663801,4.508479624,5.352952971
-0.139663819,4.508480213,5.352952473
-0.139663837,4.508480801,5.352951977
-0.139663856,4.508481389,5.352951482
-0.139663874,4.508481978,5.352950986
-0.139663892,4.508482567,5.352950490
-0.139663910,4.508483156,5.352949991
-0.139663929,4.508483743,5.352949496
-0.139663947,4.508484333,5.352949001
-0.139663965,4.508484922,5.352948505
-0.139663983,4.508485511,5.352948008
-0.139664002,4.508486100,5.352947510
-0.139664020,4.508486687,5.352947015
-0.139664038,4.508487277,5.352946519
-0.139664056,4.508487864,5.352946023
-0.139664074,4.508488454,5.352945525
-0.139664093,4.508489043,5.352945030
-0.139664111,4.508489631,5.352944534
-0.139664129,4.508490220,5.352944039
-0.139664147,4.508490808,5.352943541
-0.139664166,4.508491396,5.352943045
-0.139664184,4.508491985,5.352942550
-0.139664202,4.508492574,5.352942052
-0.139664220,4.508493164,5.352941555
-0.139664239,4.508493753,5.352941059
-0.139664257,4.508494341,5.352940563
-0.139664275,4.508494929,5.352940068
-0.139664293,4.508495518,5.352939570
-0.139664312,4.508496107,5.352939073
-0.139664330,4.508496695,5.352938578
-0.139664348,4.508497284,5.352938083
-0.139664366,4.508497871,5.352937585
